alpha,flap,CL
0,0,0.001
1,0,0.07036
2,0,0.13964
3,0,0.20878
4,0,0.2777
5,0,0.3463
6,0,0.41442
7,0,0.4818
8,0,0.54793
9,0,0.61156
10,0,0.66997
11,0,0.71572
12,0,0.75615
13,0,0.79188
14,0,0.81968
15,0,0.84148
16,0,0.85849
17,0,0.87159
18,0,0.88194
0,20,0.10389
1,20,0.17579
2,20,0.24776
3,20,0.31985
4,20,0.39214
5,20,0.46476
6,20,0.5379
7,20,0.61178
8,20,0.68442
9,20,0.74959
10,20,0.79922
11,20,0.83428
12,20,0.8597
13,20,0.87744
14,20,0.88473
15,20,0.87974
16,20,
17,20,
18,20,
0,45,0.30968
1,45,0.37841
2,45,0.44718
3,45,0.51602
4,45,0.58499
5,45,0.65417
6,45,0.7237
7,45,0.79382
8,45,0.86261
9,45,0.92076
10,45,0.96095
11,45,0.98872
12,45,1.0059
13,45,1.01237
14,45,1.00875
15,45,
16,45,
17,45,
18,45,
